ticker,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
005930,삼성전자,"3,054,876","463,279","371,012",15.17,12.14,11.67,39.92(21),196.75(21),"33,143.62(21)","5,374",10.29,"48,462",1.14,"1,521",1.84(21),25.00(21)
373220,LG에너지솔루션,"251,891","14,273","9,004",5.67,3.57,6.50,(21),(21),(21),"3,622",122.58,"76,516",5.80,24,-,-
000660,SK하이닉스,"450,663","75,122","50,179",16.67,11.13,7.51,54.98(21),99.92(21),"1,643.64(21)","6,636",13.79,"96,591",0.95,"1,446",1.18(21),11.03(21)
207940,삼성바이오로직스,"27,487","9,093","6,102",33.08,22.20,10.26,59.68(21),80.95(21),"2,922.69(21)","8,815",90.76,"98,707",8.10,-,-,-(21)
051910,LG화학,"527,186","33,343","27,163",6.33,5.15,9.32,120.32(21),80.50(21),"5,311.19(21)","31,091",22.03,"389,904",1.76,"10,375",1.95(21),25.49(21)
006400,삼성SDI,"200,310","18,764","19,672",9.37,9.82,11.91,69.99(21),76.72(21),"3,789.74(21)","26,649",25.78,"251,247",2.73,"1,109",0.15(21),5.72(21)
005380,현대차,"1,419,898","94,490","88,282",6.65,6.22,10.11,183.17(21),45.68(21),"5,187.27(21)","28,876",5.70,"318,332",0.52,"5,618",2.39(21),26.32(21)
035420,NAVER,"81,750","13,142","8,206",16.08,10.04,3.86,40.22(21),128.35(21),"149,081.45(21)","5,589",37.84,"159,933",1.32,945,0.14(21),0.46(21)
035720,카카오,"72,361","5,858","16,377",8.10,22.63,14.13,67.62(21),146.88(21),"21,260.57(21)","3,416",19.67,"26,451",2.54,53,0.05(21),1.65(21)
000270,기아,"868,933","69,526","54,129",8.00,6.23,14.51,91.48(21),95.75(21),"1,561.65(21)","13,391",4.80,"99,950",0.64,"3,305",3.65(21),25.27(21)
005490,POSCO홀딩스,"851,486","58,272","46,926",6.84,5.51,8.00,66.90(21),148.59(21),"10,970.25(21)","48,476",6.29,"713,264",0.43,"14,346",6.19(21),19.43(21)
105560,KB금융,"589,176(21)","60,717","47,460",10.35(21),7.44(21),9.90,"1,274.70(21)",(21),"2,264.45(21)","11,557",4.92,"124,636",0.46,"3,272",5.35(21),25.98(21)
068270,셀트리온,"23,854","7,604","6,201",31.88,26.00,14.95,40.09(21),206.23(21),"2,833.54(21)","4,222",40.05,"30,297",5.58,780,-,17.68(21)
028260,삼성물산,"435,744","24,810","23,808",5.69,5.46,6.82,65.64(21),82.63(21),"106,252.66(21)","10,760",11.22,"177,762",0.68,"3,025",3.53(21),42.37(21)
055550,신한지주,"286,756(21)","63,087","49,677",20.76(21),14.34(21),10.20,"1,208.38(21)",(21),"1,589.78(21)","9,247",4.50,"93,049",0.45,"2,384",5.33(21),26.04(21)
012330,현대모비스,"504,123","20,141","27,115",4.00,5.38,7.40,45.61(21),124.97(21),"7,346.53(21)","28,649",7.31,"412,783",0.51,"4,341",1.57(21),15.51(21)
003670,포스코케미칼,"35,486","2,323","2,169",6.55,6.11,8.27,60.86(21),59.28(21),"6,069.07(21)","2,682",68.80,"34,040",5.42,318,0.21(21),17.32(21)
066570,LG전자,"844,421","39,340","21,894",4.66,2.59,9.10,166.10(21),71.71(21),"1,933.04(21)","9,331",9.27,"110,232",0.78,966,0.62(21),14.92(21)
096770,SK이노베이션,"797,374","52,261","27,567",6.55,3.46,12.90,152.42(21),93.89(21),"3,822.01(21)","25,796",6.67,"235,841",0.73,"1,567",1.05(21),66.37(21)
086790,하나금융지주,"416,778(21)","49,240","37,685",11.11(21),8.59(21),10.48,"1,315.37(21)",(21),"2,284.70(21)","12,493",3.89,"125,748",0.39,"3,361",7.37(21),25.63(21)
034730,SK,"1,342,898","103,027","75,792",7.67,5.64,11.92,152.24(21),82.30(21),"138,287.27(21)","36,594",5.48,"441,807",0.45,"8,198",3.19(21),22.72(21)
032830,삼성생명,"170,172","3,909","12,303",2.30,7.23,3.87,761.52(21),(21),"41,635.74(21)","5,796",12.53,"122,740",0.59,"2,855",4.68(21),36.66(21)
323410,카카오뱅크,"10,649(21)","3,977","2,843",24.13(21),19.17(21),5.03,552.74(21),(21),132.40(21),597,48.31,"12,131",2.38,-,-,-(21)
015760,한국전력,"709,093","-308,907","-234,567",-43.56,-33.08,-45.09,223.23(21),42.63(21),"1,474.28(21)","-36,817",-0.53,"63,975",0.30,-,-,-
003550,LG,"73,174","22,405","26,372",30.62,36.04,10.68,17.00(21),151.60(21),"2,727.61(21)","15,688",5.21,"163,585",0.50,"3,100",3.46(21),17.50(21)
033780,KT&G,"57,828","13,484","12,424",23.32,21.49,13.11,26.37(21),140.18(21),951.22(21),"9,059",10.24,"84,463",1.10,"4,978",6.08(21),58.93(21)
051900,LG생활건강,"73,137","7,358","4,624",10.06,6.32,8.07,37.42(21),96.49(21),"6,300.24(21)","25,025",30.33,"334,149",2.27,"10,303",1.09(21),23.82(21)
010130,고려아연,"111,263","9,992","6,819",8.98,6.13,8.40,28.83(21),78.15(21),"8,029.37(21)","34,540",16.50,"413,785",1.38,"20,182",3.91(21),43.81(21)
011200,HMM,"183,729","98,623","99,695",53.68,54.26,64.89,72.58(21),310.18(21),212.90(21),"20,069",1.13,"40,673",0.56,"1,296",-,5.50(21)
009150,삼성전기,"95,559","12,287","9,801",12.86,10.26,13.50,44.68(21),116.42(21),"1,510.49(21)","12,434",11.90,"100,341",1.47,"2,202",1.06(21),17.79(21)
