,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
0,SK바이오팜,2552,-1097,-1150,-42.96,-45.04,-29.82,44.91(21),282.72(21),"1,010.57(21)",-1485,-48.68,4289,16.86,-,-,-
1,메리츠화재,"118,614(21)","9,076(21)","6,609(21)",7.65(21),5.57(21),26.12(21),"1,056.04(21)",^,"4,389.04(21)","5,471(21)",6.13(21),"22,115(21)",1.52(21),620(21),1.85(21),10.15(21)
2,F&F,18796,5665,4229,30.14,22.5,60.07,176.06(21),21.72(21),"11,022.55(21)",11049,13.3,22592,6.51,1554,0.58(21),18.15(21)
3,메리츠금융지주,"356,499(21)",21677,16340,5.05(21),3.88(21),28.65,"1,091.74(21)",^,"9,717.30(21)",8034,5.3,29521,1.44,90,0.48(21),3.35(21)
4,한국조선해양,179455,-3878,647,-2.16,0.36,0.56,119.86(21),66.38(21),"4,766.69(21)",769,107.91,137429,0.6,-,-,-
5,SK스퀘어,50817,8639,9743,17,19.17,5.42,34.31(21),107.34(21),"51,465.72(21)",6576,5.57,124975,0.29,-,-,-
6,CJ제일제당,302378,17541,9055,5.8,3,10.44,148.51(21),61.09(21),"7,393.50(21)",42106,8.28,442814,0.79,5659,1.29(21),13.08(21)
7,넷마블,26786,-1049,-4693,-3.92,-17.52,-7.61,77.50(21),61.37(21),"71,333.18(21)",-4987,-12.75,66727,0.95,456,0.42(21),18.01(21)
8,강원랜드,12962,2587,1607,19.96,12.39,4.66,17.66(21),270.31(21),"3,103.60(21)",723,31.82,16698,1.38,472,,
9,한온시스템,85276,2592,1398,3.04,1.64,5.68,232.45(21),97.00(21),"4,416.20(21)",249,38.49,4393,2.19,361,2.68(21),62.27(21)
10,LG유플러스,139422,10253,6591,7.35,4.73,8.29,143.39(21),64.09(21),202.06(21),1498,7.57,18854,0.6,649,4.04(21),33.35(21)
11,SK아이이테크놀로지,5884,-501,-465,-8.52,-7.9,-2.25,43.69(21),228.99(21),"3,006.86(21)",-692,-104.18,30540,2.36,-,-,-
12,HD현대,607560,36842,25200,6.06,4.15,21.3,201.29(21),62.33(21),"8,515.69(21)",18567,3.24,105500,0.57,4150,10.34(21),-296.46(21)
13,오리온,27919,4588,3371,16.43,12.07,13.69,36.11(21),172.20(21),"7,312.90(21)",8308,14.84,65470,1.88,794,0.72(21),11.50(21)
14,LG디스플레이,263803,-18856,-18549,-7.15,-7.03,-14.71,158.46(21),70.22(21),603.25(21),-5099,-2.59,32663,0.4,354,2.64(21),19.61(21)
15,현대제철,274566,19903,13332,7.25,4.86,7.12,102.86(21),68.37(21),"2,437.63(21)",9817,3.64,143903,0.25,988,2.44(21),9.00(21)
16,삼성엔지니어링,96718,6485,5268,6.71,5.45,23.09,209.04(21),97.36(21),100.99(21),2704,9.1,13209,1.86,38,-,-
17,DB손해보험,"208,806(21)","11,084(21)",9620,5.31(21),4.18(21),15.44,861.78(21),^,"19,349.04(21)",13517,4.79,95897,0.68,4296,6.48(21),24.17(21)
18,한국항공우주,27833,1496,1505,5.37,5.41,11.55,351.29(21),77.32(21),164.79(21),1580,30.66,14330,3.38,269,0.62(21),30.51(21)
19,삼성중공업,59982,-6187,-4576,-10.31,-7.63,-11.61,196.26(21),32.92(21),469.56(21),-520,-11.22,4423,1.32,-,-,-
20,현대건설,207695,6697,7390,3.23,3.56,8.14,108.26(21),180.89(21),"1,198.84(21)",5467,6.86,70112,0.53,621,1.35(21),16.56(21)
21,GS,287472,52088,30525,18.12,10.62,22.76,119.61(21),69.12(21),"2,708.44(21)",27993,1.54,137396,0.31,2175,5.12(21),13.07(21)
22,금호석유,81402,12257,10273,15.06,12.62,18.9,59.67(21),112.68(21),"2,952.02(21)",31115,4.71,214295,0.68,6433,6.02(21),14.29(21)
23,미래에셋증권,239430,9435,7116,3.94,2.97,6.49,923.96(21),^,170.58(21),902,7.58,17726,0.39,196,3.47(21),16.32(21)
24,유한양행,17995,356,769,1.98,4.28,4.09,27.27(21),188.33(21),"2,687.89(21)",1025,51.99,27542,1.94,367,0.61(21),25.42(21)
25,메리츠증권,"232,474(21)",10250,8090,4.08(21),3.37(21),15.77(21),914.32(21),^,621.09(21),1166,5.68,"8,360(21)",0.62(21),100,1.94(21),9.29(21)
26,한국타이어앤테크놀로지,83086,6824,7915,8.21,9.53,9.12,42.64(21),166.70(21),"13,180.13(21)",6298,5.35,73327,0.46,700,1.76(21),14.28(21)
27,포스코인터내셔널,"339,489(21)","5,854(21)","3,565(21)",1.72(21),1.05(21),10.86(21),206.67(21),92.62(21),462.13(21),"2,924(21)",7.68(21),"28,259(21)",0.79(21),800(21),3.56(21),27.36(21)
28,코웨이,38888,6766,4952,17.4,12.73,23.82,99.57(21),67.39(21),"4,685.25(21)",6697,8.42,30906,1.82,1297,1.68(21),19.48(21)
29,한화에어로스페이스,64544,3496,2245,5.42,3.48,7.81,180.95(21),106.40(21),843.51(21),4541,17.93,59224,1.37,580,1.46(21),14.01(21)
30,SKC,37549,3140,2418,8.36,6.44,8.56,170.78(21),75.65(21),999.44(21),4896,20.06,68605,1.43,1035,0.63(21),17.87(21)
31,두산밥캣,82020,10223,5388,12.46,6.57,11.75,98.57(21),98.70(21),"9,238.40(21)",5373,6.56,48348,0.73,1275,2.94(21),31.17(21)
32,삼성카드,39768,7422,5569,18.66,14,8.88,261.28(21),^,"1,187.77(21)",4864,6.35,48552,0.64,2467,7.30(21),44.54(21)
33,한국금융지주,"137,861(21)",8260,6926,11.03(21),12.80(21),9.1,"1,004.41(21)",^,"2,328.63(21)",11280,5.62,134851,0.47,2560,7.62(21),20.37(21)
34,롯데지주,137615,5070,3635,3.68,2.64,4.01,106.89(21),79.86(21),"44,037.03(21)",2690,11.88,100683,0.32,1500,5.02(21),34.78(21)
35,아모레G,44522,2505,1938,5.63,4.35,3.17,24.13(21),126.03(21),"7,200.87(21)",1101,35.83,37356,1.06,414,1.01(21),23.30(21)
36,한미약품,13434,1592,1075,11.85,8,10.46,108.64(21),69.45(21),"2,682.80(21)",7101,37.18,72533,3.64,489,0.18(21),8.94(21)
37,팬오션,64855,8047,7122,12.41,10.98,17.23,80.40(21),96.10(21),522.56(21),1332,4.6,8739,0.7,112,1.85(21),9.73(21)
38,호텔신라,50000,1121,449,2.24,0.9,7.51,360.47(21),45.60(21),242.58(21),1118,74.06,16224,5.1,204,0.26(21),28.11(21)
39,NH투자증권,154280,5186,3052,3.36,1.98,4.52,757.97(21),^,324.87(21),925,10.32,20773,0.46,461,8.40(21),35.63(21)
40,현대미포조선,36494,-374,927,-1.03,2.54,4.29,75.94(21),54.62(21),859.07(21),2381,33.93,56853,1.42,62,,
41,삼성증권,171390,6803,5033,3.97,2.94,8.21,980.55(21),^,"1,226.33(21)",5665,6.24,69944,0.51,2167,8.46(21),35.15(21)
42,BGF리테일,76042,2626,1963,3.45,2.58,22.21,220.81(21),68.85(21),"4,439.53(21)",11332,16.85,55268,3.45,3307,2.06(21),35.10(21)
43,현대로템,31611,1365,937,4.32,2.96,7.25,223.85(21),47.66(21),86.41(21),889,32.38,12686,2.27,-,-,-
44,에스디바이오센서,29928,13402,13195,44.78,44.09,47.56,36.39(21),200.44(21),"4,298.27(21)",12761,2.3,32858,0.89,1384,2.26(21),12.03(21)
45,이마트,294018,1853,9020,0.63,3.07,8.35,151.95(21),31.70(21),"6,352.86(21)",31941,3.3,412693,0.26,1929,1.32(21),3.54(21)
46,한국가스공사,495809,18585,10852,3.75,2.19,11.42,378.87(21),68.11(21),"1,777.35(21)",11566,2.82,114546,0.28,1376,6.98(21),24.63(21)
47,현대해상,"188,422(21)","6,393(21)",5730,3.39(21),2.30(21),12.01,954.67(21),^,"11,255.03(21)",6409,5.02,57872,0.56,1755,6.45(21),26.83(21)
48,쌍용C&E,19177,1611,834,8.4,4.35,5.15,115.33(21),69.12(21),"3,324.22(21)",166,34.85,3156,1.83,440,5.71(21),118.85(21)
49,씨에스윈드,14138,763,200,5.39,1.41,2.72,87.36(21),126.08(21),"4,102.94(21)",581,114.81,21874,3.05,551,0.91(21),38.22(21)
50,에스케이바이오팜(SK바이오팜),2552,-1097,-1150,-42.96,-45.04,-29.82,44.91(21),282.72(21),"1,010.57(21)",-1485,-48.68,4289,16.86,-,-,-
