name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
일진머티리얼즈,7943,984,711,12.39,8.95,6.11,29.96(21),299.36(21),"4,137.52(21)",1486,43.46,27199,2.38,300,0.22(21),22.04(21)
GS리테일,111676,2175,1017,1.95,0.91,2.66,114.21(21),39.34(21),"3,875.77(21)",1033,27.4,39697,0.71,995,3.95(21),15.04(21)
한진칼,2020,160,8470,7.92,419.31,42.98,105.83(21),24.64(21),505.18(21),12943,3.21,36567,1.14,-,-,-
롯데쇼핑,155690,4660,759,2.99,0.49,0.4,183.35(21),51.72(21),"8,887.52(21)",1412,66.63,351481,0.27,2846,3.21(21),-27.08(21)
제일기획,41804,3229,2242,7.72,5.36,19.03,125.51(21),161.92(21),"6,385.50(21)",1932,11.44,12034,1.84,1117,4.33(21),60.59(21)
한화생명,"271,736(21)","13,520(21)",8910,4.98(21),4.60(21),10.07,"1,119.05(21)",^,230.30(21),923,2.81,6190,0.42,2249,3.27(21),11.59(21)
키움증권,54165,6815,4914,12.58,9.07,11.11,953.06(21),^,"2,889.20(21)",16919,5.99,165625,0.61,2249,3.27(21),11.59(21)
CJ,408843,22966,8631,5.62,2.11,5.96,154.84(21),69.78(21),"2,682.28(21)",8924,9.27,167200,0.49,2483,2.76(21),28.09(21)
한솔케미칼,8983,1950,1569,21.71,17.47,19.73,55.91(21),155.21(21),"1,110.01(21)",12895,16.21,72809,2.87,2229,0.69(21),15.75(21)
한화시스템,21200,416,-141,1.96,-0.66,-0.84,73.87(21),162.08(21),138.65(21),-98,-140.67,11770,1.17,130,1.00(21),30.43(21)
BNK금융지주,"55,807(21)",11995,8886,19.57(21),14.95(21),8.82,"1,154.86(21)",^,527.74(21),2595,2.79,30360,0.24,606,6.67(21),22.97(21)
한전기술,4628,173,186,3.73,4.02,3.58,37.41(21),130.01(21),"6,756.73(21)",487,133.59,13814,4.71,243,0.28(21),55.03(21)
신세계,77694,7108,4620,9.15,5.95,9.07,136.78(21),32.33(21),"7,083.79(21)",35899,6.37,411357,0.56,3312,1.18(21),9.62(21)
동원산업,"28,022(21)","2,607(21)","1,715(21)",9.30(21),6.12(21),12.59(21),105.26(21),68.23(21),"7,873.61(21)","9,202(21)",4.93(21),"84,257(21)",0.54(21),"1,000(21)",2.20(21),10.08(21)
LS,179679,7275,5357,4.05,2.98,12.17,168.05(21),93.65(21),"2,177.57(21)",14183,4.68,144113,0.46,1490,2.68(21),14.49(21)
두산퓨얼셀,2909,-21,21,-0.71,0.73,0.46,34.87(21),139.42(21),"6,223.91(21)",29,1171.7,6371,5.37,44,-,-
에스원,24756,2091,1520,8.45,6.14,10.3,36.74(21),109.78(21),"8,271.23(21)",4000,14.82,44602,1.33,2533,3.38(21),65.53(21)
대우조선해양,51751,-11065,-11848,-21.38,-22.89,-66.83,379.04(21),43.45(21),-181.66(21),-11043,-2.21,12383,1.97,-,-,-
휠라홀딩스,42386,4692,3445,11.07,8.13,13.22,85.95(21),120.56(21),"2,477.43(21)",3734,10.3,30314,1.27,1317,2.79(21),25.55(21)
OCI,46874,9516,7654,20.3,16.33,21.63,82.60(21),139.94(21),"2,268.54(21)",32009,2.94,169325,0.56,2300,1.92(21),7.36(21)
CJ대한통운,123449,4175,2245,3.38,1.82,5.68,123.93(21),81.91(21),"2,700.68(21)",8842,10.39,177589,0.52,7,-,-
한화,625880,33140,26290,5.29,4.2,43.54,861.49(21),70.03(21),"1,045.63(21)",16367,1.72,26318,1.07,805,2.39(21),7.75(21)
DB하이텍,17183,8118,6312,47.24,36.73,44.73,40.13(21),137.31(21),431.38(21),14181,3.26,39487,1.17,483,0.62(21),6.17(21)
대한전선,"19,977(21)",395(21),289(21),1.98(21),1.45(21),7.78(21),266.43(21),73.65(21),54.63(21),30(21),54.96(21),400(21),4.08(21),-,-,-
