,년,표준버스정류장ID,정류장명,위도,경도,승차수,하차수
0,2019,100000001,종로2가사거리,37.5697651,126.9877498,169843,208366
1,2019,100000002,창경궁.서울대학교병원,37.579183,126.996566,926772,774084
2,2019,100000003,명륜3가.성대입구,37.5826711,126.9983401,1561340,1152033
3,2019,100000004,종로2가.삼일교,37.5685792,126.987613,277604,284072
4,2019,100000005,혜화동로터리.여운형활동터,37.586243,127.001744,619622,1085229
5,2019,100000006,경기상고,37.5875502,126.9693634,149822,69727
6,2019,100000007,신교동,37.5832955,126.9702626,519716,198298
7,2019,100000008,경기상고,37.5871907,126.9697701,55265,160642
8,2019,100000009,경복고교,37.5851131,126.9710436,132365,124059
9,2019,100000010,청운중학교,37.5878519,126.9725135,21037,75640
10,2019,100000011,자하문고개.윤동주문학관,37.5921866,126.9671261,175463,31658
11,2019,100000012,자하문고개.윤동주문학관,37.5923353,126.9671906,19902,193043
12,2019,100000013,청운중학교,37.5881285,126.9724613,45156,64392
13,2019,100000014,경복고교,37.5849663,126.9711546,101914,128528
14,2019,100000015,통인시장종로구보건소,37.5803257,126.97105,364715,507402
15,2019,100000016,통인시장종로구보건소,37.5805132,126.9713851,200074,391761
16,2019,100000017,효자동,37.583091,126.9706209,163868,338441
17,2019,100000018,사직단.어린이도서관,37.5751355,126.9679907,323927,167792
18,2019,100000019,사직동주민센터,37.5761834,126.9713244,1092817,558169
19,2019,100000020,경복궁역,37.5768666,126.972196,458419,1515877
20,2019,100000021,경복궁역,37.5776713,126.9722828,1560948,559196
21,2019,100000022,경복궁,37.5755767,126.9787471,383912,640458
22,2019,100000023,KT광화문지사,37.5722264,126.977332,1428681,426520
23,2019,100000025,광화문,37.5698453,126.9763838,462041,336043
24,2019,100000028,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248,376881,347957
25,2019,100000029,광화문.금호아시아나본관앞,37.570288,126.9731335,50405,108571
26,2019,100000030,광화문,37.570365,126.975837,81221,15486
27,2019,100000031,세종문화회관,37.57359,126.9768571,1111139,1668147
28,2019,100000032,서울경찰청.경복궁역,37.5757446,126.9714842,611228,1023445
29,2019,100000033,사직단,37.5748553,126.9681889,242204,720835
30,2019,100000034,광화문.광화문빌딩,37.5696876,126.9766885,141391,201126
31,2019,100000035,덕성여중고,37.5759017,126.982017,354187,344692
32,2019,100000036,안국역.서울공예박물관,37.5760695,126.9839957,482453,357998
33,2019,100000037,국민은행세검정지점,37.6046629,126.960888,151904,113096
34,2019,100000038,세검정초등학교,37.6025022,126.9612198,506799,260118
35,2019,100000039,세검정.상명대,37.6007325,126.9587223,177936,113196
36,2019,100000040,상명대입구.석파랑,37.5994133,126.9585702,77898,45330
37,2019,100000041,하림각,37.598133,126.9617068,317186,133658
38,2019,100000042,자하문터널입구.석파정,37.5955935,126.9636434,276272,106672
39,2019,100000043,부암동주민센터.무계원,37.592738,126.9639574,204405,88450
40,2019,100000044,부암동주민센터.무계원,37.5927861,126.9651419,78174,171324
41,2019,100000045,자하문터널입구.석파정,37.5955575,126.9639775,110203,293288
42,2019,100000046,하림각,37.5981476,126.9622153,165398,259206
43,2019,100000047,상명대입구.세검정교회,37.5996163,126.9592405,84847,179456
44,2019,100000048,세검정.상명대,37.6005524,126.9589342,177760,171474
45,2019,100000049,세검정초등학교,37.602268,126.9614328,410017,484460
46,2019,100000051,국민은행세검정지점,37.6047191,126.9612088,116679,217414
47,2019,100000053,승가사입구,37.6115844,126.9563059,33221,1952
48,2019,100000054,구기동현대빌라,37.6100355,126.9564575,82850,9035
49,2019,100000055,구기터널.삼성출판박물관,37.6086098,126.9562103,206032,65668
50,2019,100000056,구기터널.삼성출판박물관,37.6083054,126.9564166,101290,136042
51,2019,100000057,구기동,37.6069644,126.9585297,486217,171141
52,2019,100000058,구기동,37.6070088,126.9591017,236712,275012
53,2019,100000059,승가사입구,37.61148,126.956482,5539,45141
54,2019,100000060,갑을씨티텔앞,37.6043709,126.963535,111650,94349
55,2019,100000061,평창파출소,37.6053223,126.9660432,524580,148153
56,2019,100000062,평창동주민센터,37.6066073,126.9695663,440787,152816
57,2019,100000063,일성아파트,37.6087663,126.9729985,197991,74997
58,2019,100000064,롯데아파트,37.6104295,126.9764662,334869,100845
59,2019,100000065,롯데아파트,37.610248,126.976652,93625,233521
60,2019,100000066,벽산평창힐스아파트,37.60819,126.972797,47066,179589
61,2019,100000067,예능교회,37.606517,126.97,99869,184501
62,2019,100000068,서울예술고등학교.평창동주민센터,37.6057787,126.9676276,119273,403824
63,2019,100000069,화정박물관,37.6045038,126.9648102,76063,342416
64,2019,100000072,독립문역.서대문형무소역사관,37.5732126,126.9594644,72024,237130
65,2019,100000073,서대문.서울시교육청,37.5682538,126.9645273,286227,285525
66,2019,100000075,독립문,37.5711733,126.9615632,166530,67386
67,2019,100000076,창덕궁.서울돈화문국악당,37.5775405,126.9885394,553281,916603
68,2019,100000077,서린동.SK서린빌딩,37.5692423,126.9802681,93131,78957
69,2019,100000078,청계1가.광교,37.5686843,126.9849267,15299,13475
70,2019,100000079,청계2가.수표교,37.5684977,126.990644,11283,15709
71,2019,100000080,청계4가.세운교,37.5689116,126.9964597,5158,11204
72,2019,100000081,청계5가.광장시장,37.5694512,126.9997973,24211,34824
73,2019,100000102,원남동,37.5745325,126.9973383,746274,802360
74,2019,100000103,창덕궁.우리소리박물관,37.5772728,126.9886349,768395,443901
75,2019,100000104,안국역.인사동,37.5757849,126.9842425,1125630,579988
76,2019,100000105,조계사.종로경찰서,37.5725223,126.9831555,649934,410375
77,2019,100000106,조계사.종로경찰서,37.5724858,126.9828258,546238,675323
78,2019,100000107,안국동,37.5746105,126.9827201,136358,260003
79,2019,100000108,종로5가.효제동.김상옥의거터,37.5745,127.00223,188836,283609
80,2019,100000109,종로5가.효제초등학교,37.572879,127.0021442,665883,359937
81,2019,100000116,종로5가,37.5705596,127.0021826,284174,213149
82,2019,100000117,청계6가.동대문시장,37.5698351,127.0028494,17270,28231
