,구분,2003,2003건강,2003재정,2003관계,2003가정,2003사회,2004,2004건강,2004재정,2004관계,2004가정,2004사회,2005,2005건강,2005재정,2005관계,2005가정,2005사회,2006,2006건강,2006재정,2006관계,2006가정,2006사회,2007,2007건강,2007재정,2007관계,2007가정,2007사회,2008,2008건강,2008재정,2008관계,2008가정,2008사회,2009,2009건강,2009재정,2009관계,2009가정,2009사회,2010,2010건강,2010재정,2010관계,2010가정,2010사회,2011,2011건강,2011재정,2011관계,2011가정,2011사회,2012,2012건강,2012재정,2012관계,2012가정,2012사회,2013,2013건강,2013재정,2013관계,2013가정,2013사회,2014,2014건강,2014재정,2014관계,2014가정,2014사회,2015,2015건강,2015재정,2015관계,2015가정,2015사회,2016,2016건강,2016재정,2016관계,2016가정,2016사회,2017,2017건강,2017재정,2017관계,2017가정,2017사회,2018,2018건강,2018재정,2018관계,2018가정,2018사회,2019,2019건강,2019재정,2019관계,2019가정,2019사회,2020,2020건강,2020재정,2020관계,2020가정,2020사회,2021,2021건강,2021재정,2021관계,2021가정,2021사회
0,종로구,6.18,6.11,4.99,6.64,6.79,6.39,6.16,6.09,4.67,6.71,7.05,6.32,6.48,7.04,5.15,6.75,6.88,6.58,6.44,6.76,5.34,6.58,7.01,6.54,6.25,6.63,5.67,6.48,6.23,6.22,6.38,7.1,5.55,6.46,6.47,6.3,6.77,7.05,6.25,6.86,6.86,6.84,6.62,6.97,6.16,6.68,6.68,6.6,6.37,6.51,5.97,6.52,6.38,6.48,6.79,6.84,6.14,6.98,7.18,6.8,6.23,6.26,5.86,6.47,6.41,6.17,6.9,7.09,6.23,7.11,7.16,6.92,6.85,7.14,6.16,6.98,7.03,6.95,6.88,7.11,6.2,7.01,7.16,6.93,7.23,7.47,6.61,7.39,7.41,7.29,6.59,6.84,5.88,6.73,6.87,6.61,7.18,7.47,6.84,7.29,7.34,6.95,6.46,6.99,5.88,6.66,6.53,6.24,6.23,6.5,5.77,6.31,6.38,6.19
1,중구,6.62,6.76,5.22,7.06,7.09,6.92,6.41,6.4,5.2,6.85,7.08,6.54,6.14,6.54,5.02,6.4,6.42,6.33,6.22,6.56,4.99,6.57,6.53,6.47,6.48,6.69,5.41,6.84,6.9,6.58,6.24,6.3,5.4,6.47,6.72,6.32,6.44,6.95,5.74,6.54,6.52,6.47,6.28,6.57,6,6.25,6.33,6.25,6.55,6.72,6.08,6.67,6.66,6.63,6.92,7.54,6.55,6.8,6.86,6.83,6.39,6.84,5.86,6.19,6.53,6.52,6.56,7.02,5.74,6.66,6.71,6.66,6.76,6.88,6.16,6.86,7.02,6.89,6.75,6.95,6.15,6.86,6.99,6.79,6.99,7.24,6.08,7.27,7.21,7.14,6.47,6.89,5.38,6.74,6.82,6.51,6.48,6.88,5.99,6.62,6.59,6.34,6.44,6.81,5.83,6.56,6.61,6.39,6.35,6.61,5.84,6.5,6.49,6.33
2,용산구,6.45,6.43,5.01,6.93,7.21,6.65,6.86,7.04,5.76,7.31,7.49,6.69,6.55,7.03,5.52,6.79,7,6.4,6.81,6.97,6.2,7.01,6.98,6.9,6.52,6.71,5.29,6.93,7.11,6.56,6.53,6.78,6.13,6.53,6.63,6.57,6.66,6.93,5.48,7.01,7.12,6.78,6.25,6.57,5.37,6.48,6.53,6.31,7.15,7.3,6.74,7.26,7.23,7.23,6.58,6.66,5.59,6.9,6.98,6.77,6.79,7.04,6.33,6.83,7.09,6.67,6.72,7.03,6.16,6.76,6.86,6.79,6.73,6.9,5.98,6.9,6.96,6.89,6.69,6.88,6.18,6.75,6.83,6.8,6.93,7.07,6.34,7.11,7.17,6.95,7.67,7.57,6.8,9.13,7.48,7.35,6.28,6.94,5.73,6.33,6.25,6.16,6.3,6.87,5.79,6.31,6.37,6.15,6.13,6.62,5.57,6.21,6.27,5.97
3,성동구,6.28,6.28,4.96,6.76,6.95,6.43,6.33,6.32,4.81,6.83,7.19,6.5,6.41,6.57,5.28,6.74,6.95,6.51,6.05,6.33,4.68,6.47,6.63,6.16,6.47,6.8,5.55,6.71,6.64,6.63,6.32,6.54,5.77,6.49,6.48,6.33,6.42,6.81,5.42,6.56,6.78,6.52,6.46,6.93,5.86,6.43,6.48,6.61,6.65,6.75,5.82,6.88,6.85,6.96,6.06,6.15,5.4,6.17,6.54,6.04,6.37,6.61,5.9,6.43,6.53,6.37,6.9,6.93,6.38,7.03,7.13,7.05,6.83,7.03,6.2,6.93,7.04,6.93,6.9,7.02,6.34,6.98,7.15,7.03,6.91,7.05,6.17,7.1,7.2,7.02,6.89,7.19,6.26,7,7.23,6.77,6.71,7.01,6.21,6.76,6.76,6.78,6.38,6.85,5.81,6.5,6.51,6.21,6.28,6.64,5.83,6.32,6.36,6.26
4,광진구,6.49,6.5,5.26,6.85,7.15,6.7,6.74,7.06,5.78,7.01,7.14,6.73,6.79,7.28,5.89,6.98,7.06,6.72,6.29,6.83,4.95,6.68,6.62,6.34,6.28,6.7,5.26,6.54,6.68,6.22,6.02,6.23,5.01,6.39,6.37,6.11,6.25,6.62,5.33,6.48,6.6,6.24,6.18,6.32,5.08,6.56,6.7,6.21,6.54,6.63,5.5,6.77,7.03,6.77,6.61,6.99,5.27,6.94,6.98,6.86,6.68,6.92,6.05,6.72,6.84,6.85,6.74,6.95,6.03,6.83,7.03,6.84,6.81,7.12,6.07,6.97,7.06,6.83,6.87,7.13,6.09,7.07,7.1,6.97,6.82,7.04,5.85,7.01,7.18,7,7.09,7.4,6.57,7.18,7.26,7.06,6.94,7.24,6.23,7.09,7.15,7.02,6.38,6.79,5.89,6.49,6.5,6.22,6.38,6.7,5.78,6.54,6.52,6.39
5,동대문구,6.14,6.18,4.74,6.57,6.86,6.34,6.09,6.16,4.84,6.53,6.72,6.22,6.1,6.6,5.29,6.24,6.3,6.05,6.48,6.9,5.48,6.69,6.75,6.57,6.42,6.77,5.29,6.73,6.79,6.51,6.43,6.97,5.88,6.41,6.59,6.32,6.04,6.5,5.46,6.15,6.16,5.95,6.44,6.86,5.74,6.58,6.59,6.41,6.71,6.97,6.04,6.9,6.88,6.76,6.33,6.66,5.51,6.45,6.55,6.5,6.46,6.74,5.86,6.56,6.7,6.42,6.82,7.16,6.05,6.97,7.02,6.9,6.75,6.99,6.04,6.87,7,6.86,6.71,6.91,5.96,6.92,6.96,6.81,6.68,6.94,5.86,6.85,7.03,6.7,6.78,7.04,6.1,6.78,7.02,6.95,6.8,7.47,6.16,6.77,6.75,6.82,6.44,7,5.96,6.48,6.47,6.31,6.24,6.57,5.68,6.31,6.45,6.18
6,중랑구,5.94,6.14,4.49,6.43,6.56,6.06,6.08,6.21,4.59,6.61,6.83,6.15,6.37,6.69,4.95,6.92,6.9,6.36,6.21,6.36,4.65,6.78,6.82,6.43,6.33,6.71,5.28,6.59,6.7,6.37,6.07,6.5,4.98,6.4,6.41,6.09,6.53,6.98,5.92,6.61,6.64,6.48,6.4,6.76,5.86,6.51,6.47,6.39,6.67,7.02,6.28,6.62,6.73,6.68,6.32,6.48,5.58,6.47,6.6,6.45,6.57,6.65,6.28,6.6,6.75,6.56,7.04,7.17,6.49,7.22,7.2,7.1,6.89,7.01,6.24,7.06,7.11,7,6.82,7.1,6.14,6.94,7,6.91,6.97,7.26,6.28,7.09,7.2,7.01,7.02,7.44,6.09,7.23,7.24,7.07,6.44,6.76,5.79,6.55,6.69,6.44,6.55,7.1,5.87,6.66,6.72,6.42,6.32,6.67,5.8,6.43,6.45,6.27
7,성북구,6.28,6.45,4.82,6.76,6.9,6.48,6.3,6.39,4.9,6.68,6.99,6.54,6.33,6.66,4.81,6.66,6.95,6.51,6.03,6.27,4.72,6.5,6.47,6.2,5.95,6.13,4.69,6.32,6.42,6.17,6.93,7.16,5.94,7.2,7.34,6.99,6.7,7.12,6.11,6.78,6.79,6.72,6.36,6.59,5.88,6.49,6.41,6.44,6.94,7.25,6.37,7,7.12,6.95,6.85,7.16,6.03,7.08,7.06,6.89,6.92,7.34,6.06,7.1,7,7.08,6.73,6.89,6.04,6.94,6.95,6.85,6.83,7.02,6.13,7,7.06,6.94,6.86,7,6.19,7.03,7.11,6.98,6.96,7.06,6.32,7.11,7.21,7.08,7.04,7.47,6.47,7.15,7.18,6.95,6.95,7.57,6.33,6.99,7.06,6.82,6.65,7.18,6.08,6.7,6.73,6.57,6.19,6.54,5.64,6.27,6.39,6.1
8,강북구,6.06,6.07,4.65,6.55,6.66,6.29,6.47,6.56,4.75,7.06,7.22,6.77,6.3,6.39,4.82,6.8,6.94,6.53,5.99,5.98,4.53,6.62,6.59,6.2,6.48,6.61,5.28,6.88,7.03,6.58,6.63,6.96,5.41,7.04,7.07,6.69,6.38,6.65,5,6.79,6.94,6.52,6.34,6.69,5.36,6.61,6.65,6.39,6.1,6.28,5.12,6.41,6.52,6.18,6.66,7,5.98,6.74,6.86,6.74,6.61,6.9,6.17,6.72,6.71,6.54,6.53,6.6,5.65,6.76,6.93,6.73,6.85,7.09,6.14,6.99,7.07,6.95,6.8,7.01,6.06,7.01,6.99,6.93,7.11,7.33,6.32,7.31,7.34,7.24,6.75,7.08,5.88,7.01,7.02,6.78,7.11,7.31,6.34,7.37,7.23,7.27,6.57,6.84,5.9,6.74,6.78,6.58,6.18,6.46,5.56,6.32,6.43,6.15
9,도봉구,6.31,6.37,5.07,6.63,7.19,6.3,6.51,6.73,4.97,6.89,7.33,6.66,6.38,6.59,4.91,6.8,7.07,6.49,6.14,6.54,4.75,6.51,6.65,6.28,6.28,6.32,5.43,6.58,6.68,6.42,6.2,6.47,5.2,6.51,6.59,6.21,6.56,6.65,6.01,6.78,6.8,6.56,6.75,6.93,6.49,6.78,6.88,6.67,6.62,7.06,6.01,6.66,6.75,6.65,6.66,6.76,5.93,6.94,6.94,6.71,7.07,7.26,6.31,7.28,7.28,7.2,6.66,7.05,5.85,6.72,6.81,6.85,6.78,6.92,6.11,6.94,7.06,6.88,6.66,6.86,5.96,6.76,6.91,6.8,7.22,7.43,6.6,7.42,7.42,7.25,7.01,7.48,6.28,7.16,7.16,6.95,6.89,7.34,6.3,6.9,7.04,6.89,6.48,6.83,5.73,6.63,6.69,6.53,6.06,6.43,5.42,6.19,6.3,5.98
