,철도운영기관명,선명,선명.1,지번주소,도로명주소,경도,위도
0,서울교통공사,6호선,고려대(종암),서울특별시 성북구 종암동 29-18,서울특별시 성북구 종암로 지하1 (종암동),127.0328267,37.5977064
1,서울교통공사,6호선,공덕,서울특별시 마포구 공덕동 439,서울특별시 마포구 백범로 지하200 (공덕동)  ,126.951257,37.5437509
2,서울교통공사,6호선,광흥창(서강),서울특별시 마포구 창전동 145-17,서울특별시 마포구 독막로 지하165 (창전동),126.9320579,37.5476752
3,서울교통공사,6호선,구산,서울특별시 은평구 구산동 1,서울특별시 은평구 연서로 지하137-1 (구산동),126.9169368,37.6111396
4,서울교통공사,6호선,녹사평(용산구청),서울특별시 용산구 용산동4가 4,서울특별시 용산구 녹사평대로 지하195 (용산동4가),126.9870163,37.53479189999999
5,서울교통공사,6호선,대흥(서강대앞),서울특별시 마포구 대흥동 128-1,서울특별시 마포구 대흥로 지하85?(대흥동),126.9429055,37.5505968
6,서울교통공사,6호선,독바위,서울특별시 은평구 불광동 13-33,서울특별시 은평구 불광로 지하129-1 (불광동),126.9279903,37.6095586
7,서울교통공사,6호선,돌곶이,서울특별시 성북구 석관동 349-8,서울특별시 성북구 화랑로 지하243 (석관동),127.056892,37.6103526
8,서울교통공사,6호선,동묘앞,서울특별시 종로구 숭인동 316-3,서울특별시 종로구 지봉로 지하24 (숭인동),127.0159656,37.574514
9,서울교통공사,6호선,디지털미디어시티,서울특별시 은평구 증산동 223-25,서울특별시 은평구 수색로 지하175 (증산동),126.8990297,37.578965
10,서울교통공사,6호선,마포구청,서울특별시 마포구 성산동 592,서울특별시 마포구 월드컵로 지하190 (성산동),126.9033058,37.5657426
11,서울교통공사,6호선,망원,서울특별시 마포구 망원동 378,서울특별시 마포구 월드컵로 지하77 (망원동),126.9012821,37.5559772
12,서울교통공사,6호선,버티고개,서울특별시 중구 신당동 366-454,서울특별시 중구 다산로 지하38 (신당동),127.0164114,37.5632601
13,서울교통공사,6호선,보문,서울특별시 성북구 보문동1가 127-1,서울특별시 성북구 보문로 지하116 (보문동1가),127.0197427,37.5856721
14,서울교통공사,6호선,봉화산(서울의료원),서울특별시 중랑구 신내동 643-1,서울특별시 중랑구 신내로 지하232 (신내동),127.0913554,37.6172829
15,서울교통공사,6호선,불광,서울특별시 은평구 대조동 14-1,서울특별시 은평구 통일로 지하723-1 (대조동),126.9270381,37.6126006
16,서울교통공사,6호선,삼각지,서울특별시 용산구 한강로1가 228-1,서울특별시 용산구 한강대로 지하185 (한강로1가),126.972221,37.53434420000001
17,서울교통공사,6호선,상수,서울특별시 마포구 상수동 309-10,서울특별시 마포구 독막로 지하85 (상수동),126.9253943,37.548662
18,서울교통공사,6호선,상월곡(한국과학기술연구원),서울특별시 성북구 상월곡동 26-1,서울특별시 성북구 화랑로 지하157 (상월곡동),127.0499508,37.603604
19,서울교통공사,6호선,새절(신사),서울특별시 은평구 신사동 337-5,서울특별시 은평구 증산로 지하400 (신사동,126.9097744,37.5869005
20,서울교통공사,6호선,석계,서울특별시 노원구 월계동 25-2,서울특별시 노원구 화랑로 지하347-1 (월계동),127.05946,37.6213074
21,서울교통공사,6호선,신내,서울특별시 중랑구 신내동 19,서울특별시 중랑구 용마산로 136길 33,127.1077606,37.6115753
22,서울교통공사,6호선,신당,서울특별시 중구 흥인동 162-1,서울특별시 중구 다산로 지하260 (흥인동),127.0158722,37.56646970000001
23,서울교통공사,6호선,안암(고대병원앞),서울특별시 성북구 안암동5가 146-1,서울특별시 성북구 인촌로 지하89 (안암동5가),127.0293668,37.5860534
24,서울교통공사,6호선,약수,서울특별시 중구 신당동 369-2,서울특별시 중구 다산로 지하115 (신당동),127.0093824,37.5491389
25,서울교통공사,6호선,역촌,서울특별시 은평구 녹번동 144-69,서울특별시 은평구 서오릉로 지하63 (녹번동),126.9255048,37.6037318
26,서울교통공사,6호선,연신내,서울특별시 은평구 갈현동 397,서울특별시 은평구 통일로 지하849 (갈현동),126.9194153,37.6259459
27,서울교통공사,6호선,월곡(동덕여대),서울특별시 성북구 하월곡동 35-1,서울특별시 성북구 월곡로 지하107 (하월곡동),127.0417956,37.601865
28,서울교통공사,6호선,월드컵경기장(성산),서울특별시 마포구 성산동 420,서울특별시 마포구 월드컵로 지하240 (성산동),126.8981147,37.5677584
29,서울교통공사,6호선,응암,서울특별시 은평구 역촌동 85-41,서울특별시 은평구 증산로 지하477 (역촌동),126.9169535,37.6044517
30,서울교통공사,6호선,이태원,서울특별시 용산구 이태원동 119-23,서울특별시 용산구 이태원로 지하177 (이태원동),126.9945502,37.5344874
31,서울교통공사,6호선,증산(명지대앞),서울특별시 은평구 증산동 199-8,서울특별시 은평구 증산로 지하306 (증산동),126.907314,37.5849961
32,서울교통공사,6호선,창신,서울특별시 종로구 창신동 20-8,서울특별시 종로구 지봉로 지하112 (창신동),127.0137565,37.5753173
33,서울교통공사,6호선,청구,서울특별시 중구 신당동 295-2,서울특별시 중구 청구로 지하77 (신당동),127.0137038,37.5608109
34,서울교통공사,6호선,태릉입구,서울특별시 노원구 공릉동 616-4,서울특별시 노원구 동일로 지하992-1 (공릉동),127.0748331,37.6221224
35,서울교통공사,6호선,한강진,서울특별시 용산구 한남동 726-494,서울특별시 용산구 이태원로 지하287 (한남동),127.001766,37.539838
36,서울교통공사,6호선,합정,서울특별시 마포구 합정동 414,서울특별시 마포구 양화로 지하45 (합정동),126.9138125,37.5510625
37,서울교통공사,6호선,화랑대(서울여대입구),서울특별시 노원구 공릉동 285-2,서울특별시 노원구 화랑로 지하510 (공릉동),127.0830557,37.6245739
38,서울교통공사,6호선,효창공원앞,서울특별시 용산구 효창동 80 ,서울특별시 용산구 백범로 지하287 (효창동),126.9613525,37.5392631
