,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,코레일,경의중앙,용산,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로 23길 55,126.9640447,37.5288539
1,코레일,경의중앙,이촌,서울특별시 용산구 이촌동 17-69,서울특별시 용산구 이촌로 71길 42,126.9735831,37.5221902
2,코레일,경의중앙,서빙고,서울특별시 용산구 서빙고동 241-98,서울특별시 용산구 서빙고로 238,126.9911719,37.5197774
3,코레일,경의중앙,한남,서울특별시 용산구 한남동 399-7,서울특별시 용산구 독서당로 6길 12-13,127.0106832,37.5300071
4,코레일,경의중앙,옥수,서울특별시 성동구 옥수동 168-1,서울특별시 성동구 동호로 21,127.0172208,37.5398948
5,코레일,경의중앙,응봉,서울특별시 성동구 응봉동 246,서울특별시 성동구 고산자로 123,127.0347983,37.5503432
6,코레일,경의중앙,왕십리,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17,127.0379421,37.5621482
7,코레일,경의중앙,청량리,서울특별시 동대문구 전농동 588-1,서울특별시 동대문구 왕산로 214,127.0479007,37.5792928
8,코레일,경의중앙,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,127.0580246,37.5896999
9,코레일,경의중앙,중랑,서울특별시 중랑구 중화동 73-7,서울특별시 중랑구 중랑역로 9,127.0754081,37.5955944
10,코레일,경의중앙,상봉,서울특별시 중랑구 상봉동 100-46,서울특별시 중랑구 망우로 297,127.0860055,37.5967056
11,코레일,경의중앙,망우,서울특별시 중랑구 상봉동 172,서울특별시 중랑구 망우로 55길 11-10,127.0910742,37.5991217
12,코레일,경의중앙,양원(서울시북부병원),서울특별시 중랑구 망우동 269-5,서울특별시 중랑구 송림길 147,127.1079289,37.6065857
13,코레일,경의중앙,구리,경기도 구리시 인창동 244-2,경기도 구리시 건원대로 34번길 32-29,127.1436018,37.6032971
14,코레일,경의중앙,도농,경기도 남양주시 도농동 56-1,경기도 남양주시 경춘로 433,127.1611078,37.6087958
15,코레일,경의중앙,양정,경기도 남양주시 이패동 387,경기도 남양주시 경강로 237,127.1944876,37.6041122
16,코레일,경의중앙,덕소,경기도 남양주시 와부읍 덕소리 590-17,경기도 남양주시 와부읍 덕소로 56,127.2087813,37.5867899
17,코레일,경의중앙,도심,경기도 남양주시 와부읍 도곡리 1024-2,경기도 남양주시 와부읍 덕소로 237,127.2227157,37.5795425
18,코레일,경의중앙,팔당,경기도 남양주시 와부읍 팔당리 360,경기도 남양주시 와부읍 팔당로 107,127.2437379,37.5467276
19,코레일,경의중앙,운길산,경기도 남양주시 조안면 진중리 229-1,경기도 남양주시 조안면 운길산로 20,127.3100043,37.5544563
20,코레일,경의중앙,양수,경기도 양평군 양서면 용담리 255-2,경기도 양평군 양서면 목왕로 55-10,127.3290676,37.54556640000001
21,코레일,경의중앙,신원,경기도 양평군 양서면 신원리 480-29,경기도 양평군 양서면 신원역길 7,127.3712486,37.5326249
22,코레일,경의중앙,국수,경기도 양평군 양서면 국수리 258-25,경기도 양평군 양서면 국수역길 45,127.3995925,37.5159694
23,코레일,경의중앙,아신(아세아연합신학대),경기도 양평군 옥천면 아신리 산 112-2,경기도 양평군 옥천면 아신역1길 23,127.4444057,37.5135377
24,코레일,경의중앙,오빈,경기도 양평군 양평읍 오빈리 238-41,경기도 양평군 양평읍 덕바위길 58,127.4728688,37.5036268
25,코레일,경의중앙,양평,경기도 양평군 양평읍 양근리 130-37,경기도 양평군 양평읍 역전길 30,127.4914774,37.4927295
26,코레일,경의중앙,원덕(추읍산),경기도 양평군 양평읍 원덕리 306-4,경기도 양평군 양평읍 원덕흑천길 94-22,127.5484855,37.4689158
27,코레일,경의중앙,용문,경기도 양평군 용문면 다문리 736-13,경기도 양평군 용문면 용문역길 21,127.5939656,37.482816
28,코레일,경의중앙,지평,경기도 양평군 지평면 지평리 1120-10,경기도 양평군 지평면 지평역길 32,127.6300337,37.47636019999999
29,코레일,경의중앙,효창공원앞,서울특별시 용산구 효창동 80 ,서울특별시 용산구 백범로 지하287 (효창동),126.9613525,37.5392631
30,코레일,경의중앙,공덕,서울특별시 마포구 도화동 25-13,서울특별시 마포구 마포대로 92,126.9512054,37.5430163
31,코레일,경의중앙,서강대,서울특별시 마포구 노고산동 112-5,서울특별시 마포구 서강로 118,126.9321631,37.5492914
32,코레일,경의중앙,홍대입구,서울특별시 마포구 동교동 190-1,서울특별시 마포구 양화로 188,126.9186125,37.552785
33,코레일,경의중앙,가좌,서울특별시 서대문구 남가좌동 296-12,서울특별시 서대문구 수색로 27,126.9151293,37.56885219999999
34,코레일,경의중앙,디지털미디어시티,서울특별시 은평구 수색동 37-7,서울특별시 은평구 수색로 193,126.8995894,37.5780872
35,코레일,경의중앙,수색,서울특별시 은평구 수색동 81,서울특별시 은평구 수색로 261-1,126.8959692,37.5802897
36,코레일,경의중앙,화전(한국항공대),경기도 고양시 덕양구 화전동 183-10,경기도 고양시 덕양구 화랑로 53,126.8685426,37.6033395
