,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,공항철도,공항,서울역,서울특별시 용산구 동자동 43-227,서울특별시 용산구 청파로 378,126.9704658,37.5490645
1,공항철도,공항,공덕,서울특별시 마포구 도화동 25-13,서울특별시 마포구 마포대로 92,126.9512054,37.5430163
2,공항철도,공항,홍대입구,서울특별시 마포구 동교동 190-1,서울특별시 마포구 양화로 188,126.9186125,37.552785
3,공항철도,공항,디지털미디어시티,서울특별시 마포구 상암동 1140,서울특별시 마포구 성암로 184,126.9035854,37.5740931
4,공항철도,공항,김포공항,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 77,126.8025118,37.5667733
5,공항철도,공항,계양,인천광역시 계양구 귤현동 451-264,인천광역시 계양구 다남로 24,126.7366447,37.5714532
6,공항철도,공항,검암,인천광역시 서구 검암동 414-204,인천광역시 서구 검바위로 26,126.6731455,37.5692068
7,공항철도,공항,청라국제도시,인천광역시 서구 경서동 519-2,인천광역시 서구 에코로 163,126.6253775,37.55488649999999
8,공항철도,공항,영종,인천광역시 서구 경서동 519-2,인천광역시 서구 에코로 163,126.6253775,37.55488649999999
9,공항철도,공항,운서,인천광역시 중구 운서동 1427-27,인천광역시 중구 흰바위로 59번길 26,126.493713,37.4928447
10,공항철도,공항,공항화물청사,인천광역시 중구 운서동 2844-7,인천광역시 중구 공항동로 135번길 86,126.4774206,37.4589761
11,공항철도,공항,인천국제공항,인천광역시 중구 운서동 2851,인천광역시 중구 공항로 271,126.4580914,37.4475485
