,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,코레일,분당,왕십리,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17,127.0379421,37.5621482
1,코레일,분당,서울숲,서울특별시 성동구 성수동1가 656-436,서울특별시 성동구 왕십리로 77,127.0436808,37.5493
2,코레일,분당,압구정로데오,서울특별시 강남구 압구정동 495,서울특별시 강남구 압구정로 402,127.0357939,37.5270213
3,코레일,분당,강남구청,서울특별시 강남구 삼성동 111-44,서울특별시 강남구 학동로 346,127.041288,37.517161
4,코레일,분당,선정릉(한국과학창의재단),서울특별시 강남구 삼성동 111-44,서울특별시 강남구 선릉로 580,127.047777,37.5070339
5,코레일,분당,선릉,서울특별시 강남구 삼성동 172-66,서울특별시 강남구 선릉로 340,127.0514293,37.5001824
6,코레일,분당,한티,서울특별시 강남구 대치동 1011-28,서울특별시 강남구 선릉로 228,127.0528705,37.4962068
7,코레일,분당,도곡,서울특별시 강남구 도곡동 467-5,서울특별시 강남구 남부순환로 2814,127.0553064,37.4908245
8,코레일,분당,구룡,서울특별시 강남구 개포동 175-3,서울특별시 강남구 개포로 403,127.0592486,37.4870256
9,코레일,분당,개포동,서울특별시 강남구 개포동 195,서울특별시 강남구 개포로 420,127.0665315,37.4892333
10,코레일,분당,대모산입구,서울특별시 강남구 일원동 700,서울특별시 강남구 개포로 522,127.0731614,37.4915147
11,코레일,분당,수서,서울특별시 강남구 수서동 728,서울특별시 강남구 광평로 270,127.1018416,37.4873499
12,코레일,분당,복정(동서울대학),서울특별시 송파구 장지동 596-21,서울특별시 송파구 송파대로 6,127.1266998,37.4706864
13,코레일,분당,가천대,경기도 성남시 수정구 태평동 7131,경기도 성남시 수정구 성남대로 1332,127.1266951,37.4485428
14,코레일,분당,태평,경기도 성남시 수정구 수진동 4808,경기도 성남시 수정구 성남대로 1229,127.1276594,37.4398574
15,코레일,분당,모란,경기도 성남시 중원구 성남동 1575,경기도 성남시 중원구 성남대로 1147,127.1290211,37.4321489
16,코레일,분당,야탑,경기도 성남시 분당구 야탑동 488-1,경기도 성남시 분당구 성남대로 903,127.1287134,37.4110211
17,코레일,분당,이매(성남아트센터),경기도 성남시 분당구 이매동 129-1,경기도 성남시 분당구 성남대로 738,127.1282293,37.3956759
18,코레일,분당,서현,경기도 성남시 분당구 서현동 263,경기도 성남시 분당구 성남대로 601,127.1231651,37.3850076
19,코레일,분당,수내(한국잡월드),경기도 성남시 분당구 수내동 14,경기도 성남시 분당구 성남대로 491,127.1143136,37.3784377
20,코레일,분당,정자,경기도 성남시 분당구 정자동 95-1,경기도 성남시 분당구 성남대로 333,127.1080524,37.3661468
21,코레일,분당,미금(분당서울대병원),경기도 성남시 분당구 금곡동 222,경기도 성남시 분당구 성남대로 156,127.1089223,37.3500584
22,코레일,분당,오리,경기도 성남시 분당구 구미동 197-1,경기도 성남시 분당구 성남대로 55,127.1089393,37.3399277
23,코레일,분당,죽전(단국대),경기도 용인시 수지구 죽전동 1286,경기도 용인시 수지구 포은대로 530,127.1074106,37.3253871
24,코레일,분당,보정,경기도 용인시 기흥구 보정동 1285,경기도 용인시 기흥구 용구대로 2560,127.1074179,37.2610983
25,코레일,분당,구성,경기도 용인시 기흥구 마북동 460-3,경기도 용인시 기흥구 용구대로 2403,127.1085318,37.2721901
26,코레일,분당,신갈,경기도 용인시 기흥구 신갈동 167,경기도 용인시 기흥구 기흥로 136,127.1157987,37.2790897
27,코레일,분당,기흥(백남준아트센터),경기도 용인시 기흥구 구갈동 227-25,경기도 용인시 기흥구 중부대로 460,127.0654595,37.2686609
28,코레일,분당,상갈(루터대학교),경기도 용인시 기흥구 상갈동 227-3,경기도 용인시 기흥구 금화로 40,127.1050877,37.26280990000001
29,코레일,분당,청명,경기도 수원시 영통구 영통동 1055,경기도 수원시 영통구 봉영로 1560,127.0809768,37.2663113
30,코레일,분당,영통(경희대),경기도 수원시 영통구 영통동 1055,경기도 수원시 영통구 봉영로 1670,127.073461,37.2542932
31,코레일,분당,망포,경기도 수원시 영통구 영통동 1069,경기도 수원시 영통구 덕영대로 1520,127.0648322,37.2457653
32,코레일,분당,매탄권선,경기도 수원시 영통구 매탄동 687-4,경기도 수원시 영통구 권선로 841,127.041861,37.2521828
33,코레일,분당,수원시청(경기도문화의전당),경기도 수원시 권선구 권선동 1122,경기도 수원시 권선구 효원로 270,127.0192375,37.26558190000001
34,코레일,분당,매교,경기도 수원시 팔달구 매교동 283,경기도 수원시 팔달구 효원로 126,127.0192375,37.26558190000001
35,코레일,분당,수원,경기도 수원시 팔달구 매산로1가 18,경기도 수원시 팔달구 덕영대로 944,127.0003136,37.2656777
