,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,우이신설,우이신설,북한산우이,서울특별시 강북구 우이동 16-20,,-84.389488,33.791638
1,우이신설,우이신설,솔밭공원,서울특별시 강북구 우이동 57-28,,-84.389488,33.791638
2,우이신설,우이신설,4.19민주묘지,서울특별시 강북구 우이동 72-186,,-84.389488,33.791638
3,우이신설,우이신설,가오리,서울특별시 강북구 수유동 338-46,,-84.389488,33.791638
4,우이신설,우이신설,화계,서울특별시 강북구 수유동 472-677,,-84.389488,33.791638
5,우이신설,우이신설,삼양,서울특별시 강북구 미아동 791-4703,서울특별시 강북구 미아동 삼양로,127.0170402,37.6370282
6,우이신설,우이신설,삼양사거리,서울특별시 강북구 미아동 745-142,,-84.389488,33.791638
7,우이신설,우이신설,솔샘,서울특별시 강북구 미아동 1353-20,,-84.389488,33.791638
8,우이신설,우이신설,북한산보국문,서울특별시 성북구 정릉동 286-19,,-84.389488,33.791638
9,우이신설,우이신설,정릉,서울특별시 성북구 정릉동 139-80,,-84.389488,33.791638
10,우이신설,우이신설,성신여대입구,서울특별시 성북구 동선동4가 1번지,서울특별시 성북구 동소문로 102,127.0167136,37.5930482
11,우이신설,우이신설,보문,서울특별시 성북구 보문동1가 127-1번지,서울 성북구 보문로 지하 116,127.0197427,37.5856721
12,우이신설,우이신설,신설동,서울특별시 동대문구 신설동 76-5,서울특별시 동대문구 왕산로 1,127.0245602,37.5760874
