행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
신사,11459624,12501761
가능,2834309,2669515
가락시장,5886769,6132827
가산디지털단지,20448905,21519835
가양,7576731,7287476
가좌,1615484,1497795
가천대,3423032,3886951
가평,1036890,1071266
간석,2531907,2407066
갈매,305999,275723
강남,36310545,36741771
강남구청,8624830,9680692
강동,7063601,5986879
강동구청,3771631,3864039
강매,906614,773603
강변,14521790,14441851
강변(동서울터미널),3801049,3780788
강촌,335511,281027
개롱,2549233,2527785
개봉,8776731,8816779
개포동,1337938,1361482
개화,2364215,1511052
개화산,2188765,2034613
거여,2573810,2414566
건대입구,22927891,25055317
검암,5114581,4786201
경기광주,418596,423586
경마공원,2854856,2907539
경복궁,7106554,7549362
경복궁(정부서울청사),2298596,2295163
경찰병원,2757903,2752013
계양,3934652,3616607
고덕,3113359,3057404
고려대,2870657,2771730
고려대(종암),816448,787256
고속터미널,35378827,36025654
고잔,3399746,3333079
곡산,201854,202069
곤지암,238572,207574
공덕,12406598,12651914
공릉,3784033,3726380
공릉(서울과학기술대),1022100,1004568
공항시장,1082081,1208667
공항화물청사,899364,981315
과천,2005699,1694665
관악,3292145,3072778
광나루,4193928,3770527
광나루(장신대),1162234,1041244
광명,313877,262139
광명사거리,10154478,9819508
광운대,3775107,3515513
광화문,10254191,10721230
광화문(세종문화회관),3394494,3587069
광흥창,2728810,2631177
광흥창(서강),753272,732083
교대,14907024,15013488
교대(법원.검찰청),3981728,4018299
구로,7964145,8276653
구로디지털단지,23137156,23194811
구룡,770289,741504
구리,5092199,5336484
구반포,1194043,1263656
구산,3024336,2212057
구성,1885414,1847138
구의,6985909,6812742
구의(광진구청),1887008,1840811
구일,2635187,2659740
구파발,6583127,5583166
국수,336942,325427
국회의사당,5617337,5596082
군자,7467047,6668104
군자(능동),1991339,1778428
군포,2717556,2569916
굴봉산,106372,101025
굴포천,3224322,3315480
굽은다리,2894796,2725575
굽은다리(강동구민회관앞),772437,729128
금곡,549790,530554
금릉,1783433,1759472
금정,10553481,10521435
금천구청,4243468,3982126
금촌,2688869,2592955
금호,2903487,2666095
기흥,2889672,2767888
길동,2787026,2885785
길음,10399768,9908038
김유정,202281,243189
김포공항,9654229,8827994
까치산,10974466,10364381
까치울,2355959,2132429
낙성대,11362280,10936521
남구로,5965428,6196444
남동인더스파크,711755,775668
남부터미널,10430002,10732291
남부터미널(예술의전당),2767880,2853128
남성,4240072,3947278
남영,4329738,4651963
남춘천,1201156,1265009
남태령,598413,392250
남한산성입구,4208529,3829253
남한산성입구(성남법원.검찰청),1139836,1041328
내방,5126754,5242627
노들,1789945,1537628
노량진,16924880,17027868
노원,16438916,18127975
녹번,5036991,4369235
녹사평(용산구청),2717096,2912549
녹양,1887675,1703819
녹천,1924430,1570157
논현,7045539,7769050
능곡,1398624,1288606
단대오거리,4653861,4309865
달월,39324,31863
답십리,5963594,5428192
당고개,5041232,4727673
당산,14364179,14930529
당정,2767788,2669014
대곡,563705,426116
대공원,2328885,2435769
대림,12469876,12789074
대림(구로구청),3237496,3330998
대모산입구,1375118,1248084
대방,5812922,5744635
대성리,403401,394379
대야미,1509257,1357333
대청,3793578,3351795
대치,4527944,4274438
대화,5479733,4403702
대흥,2417462,2551583
대흥(서강대앞),660773,694589
덕계,811346,745735
덕소,2400209,2416114
덕정,2645929,2550717
도곡,4949483,4925894
도농,3381461,2978714
도림천,376647,427821
도봉,2446465,2342886
도봉산,6387425,5974889
도심,981502,821547
도원,1526659,1547762
도화,1418296,1276506
독립문,2874034,2953693
독바위,1073952,1156839
독산,5824816,6058918
돌곶이,3564845,3256175
동대문,15372717,16475241
동대문역사문화공원,16635337,17172458
동대입구,4318803,4870804
동두천,838659,1067333
동두천 중앙,1173856,1123672
동두천중앙,309054,293721
동묘앞,7026343,7199820
동암,8764886,8609552
동인천,7106610,6637376
동작,1425824,1341898
동작(현충원),341275,318512
두정,2335316,2530671
둔촌동,4813762,4756558
등촌,3807717,3737831
디지털미디어시티,10396896,10301058
뚝섬,5879009,6206659
뚝섬유원지,3550342,3426831
마곡,1451356,1208571
마곡나루,909263,844579
마두,3080244,3226068
마들,4518732,4110504
마석,1349617,1400136
마장,2328360,2245896
마천,2009023,2033022
마포,5337300,5531615
마포구청,5025429,4415097
망우,3098096,3034530
망원,4634553,4953849
망월사,3223743,3252900
망포,4436883,4056616
매교,1003358,979084
매봉,4262672,4110336
매탄권선,1592467,1477451
먹골,3909691,3739986
면목,5902595,5685417
명동,15187806,16546087
명일,3054134,3047660
명학,3800285,3811874
