행 레이블,합계 : 하차총승객수,합계 : 승차총승객수
신사,12565957,11662515
4.19민주묘지,1088694,1108180
가능,2510907,2678252
가락시장,6741663,6414264
가산디지털단지,20723381,19784770
가양,7182581,7486997
가오리,1385916,1419785
가좌,1729670,1881695
가천대,3824123,3429124
가평,936025,898654
간석,2274177,2411626
갈매,770677,877802
강남,37374549,36970540
강남구청,9467295,8370888
강동,6276954,7269499
강동구청,3998682,3924958
강매,865169,996177
강변(동서울터미널),16791691,16978429
강촌,231277,263516
개롱,2478889,2456508
개봉,8829900,8754804
개포동,1187784,1154092
개화,1695692,2534327
개화산,2020548,2141850
거여,2393635,2557447
건대입구,24275268,22250359
검암,3152301,3168466
경기광주,2227933,2312687
경마공원,2520065,2476417
경복궁(정부서울청사),9409427,9220965
경찰병원,2762782,2780107
계양,3660730,3966832
고덕,3394279,3514270
고려대(종암),3398631,3519471
고속터미널,35785182,35203166
고잔,3189955,3292953
곡산,201087,203571
곤지암,781731,794730
공덕,13661159,13386006
공릉(서울과학기술대),4667967,4712589
공항시장,1169865,1040125
공항화물청사,1000994,879603
과천,1476554,1789339
관악,2910407,3104218
광나루(장신대),4753004,5243275
광명,715849,888956
광명사거리,9508643,9723614
광운대,3347156,3497884
광화문(세종문화회관),13369692,12869661
광흥창(서강),3321284,3426893
교대(법원.검찰청),18269868,18315154
구로,7870331,7601275
구로디지털단지,22603427,22673224
구룡,688917,717264
구리,5268454,5119135
구반포,1193784,1116276
구산,2218453,2940097
구성,1823755,1827277
구의(광진구청),8401332,8657205
구일,2980811,2868110
구파발,7022922,7584235
국수,302815,315593
국회의사당,5798872,5845098
군자(능동),8394876,9347641
군포,2591728,2671613
굴봉산,75427,81324
굴포천,3491481,3345848
굽은다리(강동구민회관앞),3393560,3603593
금곡,535599,559929
금릉,1716771,1729791
금정,9983590,9895119
금천구청,4062765,4214553
금촌,2661268,2697861
금호,2932171,3185445
기흥,3205272,3320296
길동,2914653,2795111
길음,8265184,8586093
김유정,189780,171918
김포공항,9468185,10300114
까치산,10402156,10986879
까치울,2530637,2678694
낙성대,10569447,11016171
남구로,6126943,5846164
남동인더스파크,789235,725588
남부터미널(예술의전당),13085576,12725978
남성,4016108,4298460
남영,4224444,3942375
남춘천,1206760,1144497
남태령,428318,1264052
남한산성입구(성남법원.검찰청),4792125,5252405
내방,5242355,5102867
노들,1475851,1705454
노량진,15136085,15141596
노원,17390863,15807010
녹번,4111173,4748023
녹사평(용산구청),2609345,2513703
녹양,1678674,1818834
녹천,1521811,1859293
논현,7597860,6901561
능곡,1263154,1377424
단대오거리,3848949,4107882
달월,27317,38439
답십리,5403425,5938125
당고개,4443437,4711612
당산,14861180,14249816
당정,2531307,2640922
대곡,474786,621193
대공원,1940711,1865068
대림(구로구청),15013363,14640675
대모산입구,1046923,1134145
대방,5414953,5419510
대성리,335386,345423
대야미,1437000,1624735
대청,3235978,3618478
대치,4386365,4566418
대화,4446819,5562641
대흥(서강대앞),3361955,3225315
덕계,713677,778302
덕소,2314188,2341442
덕정,2467191,2534828
도곡,4604835,4612413
도농,2937043,3327173
도림천,460452,420121
도봉,2239888,2344807
도봉산,6144944,6584901
도심,813757,1001527
도원,1491624,1461219
도화,1373228,1513577
독립문,3105789,3010372
독바위,1135085,1057787
독산,6094966,5821240
돌곶이,3026130,3237006
동대문,15172397,14541176
